round,item_name,n_reached,usage_matches,usage_rate,wins_with,wins_without,winrate_with,winrate_without,delta_winrate,wilson_with_lo,wilson_with_hi,wilson_without_lo,wilson_without_hi
1,Amulet of Energy,887,15,0.016910935738444193,10,571,0.011273957158962795,0.6437429537767756,-0.6324689966178128,0.006135081494683484,0.02062792553148144,0.6116689228933673,0.6745772515107019
1,Heroic Potion,887,15,0.016910935738444193,9,572,0.010146561443066516,0.644870349492672,-0.6347237880496055,0.005347125335553086,0.019170813656070117,0.6128136732634132,0.6756775691751976
1,Amulet of Feasting,887,12,0.013528748590755355,8,573,0.009019165727170236,0.6459977452085682,-0.636978579481398,0.004577042787255633,0.01769582816982585,0.6139586130972357,0.676777697375917
1,Wolf Badge,887,10,0.011273957158962795,8,573,0.009019165727170236,0.6459977452085682,-0.636978579481398,0.004577042787255633,0.01769582816982585,0.6139586130972357,0.676777697375917
1,Corrupted Crystal,887,11,0.012401352874859075,7,574,0.007891770011273957,0.6471251409244645,-0.6392333709131905,0.003827888171832837,0.016199914750706926,0.615103742800585,0.6778776357071092
1,Mana Orb,887,16,0.018038331454340473,7,574,0.007891770011273957,0.6471251409244645,-0.6392333709131905,0.003827888171832837,0.016199914750706926,0.615103742800585,0.6778776357071092
1,Pestilence Flask,887,10,0.011273957158962795,7,574,0.007891770011273957,0.6471251409244645,-0.6392333709131905,0.003827888171832837,0.016199914750706926,0.615103742800585,0.6778776357071092
1,Rainbow Badge,887,14,0.015783540022547914,7,574,0.007891770011273957,0.6471251409244645,-0.6392333709131905,0.003827888171832837,0.016199914750706926,0.615103742800585,0.6778776357071092
1,Oil Lamp,887,12,0.013528748590755355,6,575,0.006764374295377677,0.6482525366403608,-0.6414881623449831,0.0031037104472928893,0.014679024440705155,0.6162490627838247,0.6789773837584113
1,Toad,887,9,0.010146561443066516,5,576,0.005636978579481398,0.649379932356257,-0.6437429537767756,0.002410076876764947,0.013127589976691379,0.6173945734619719,0.6800769411148058
1,Flame,887,7,0.007891770011273957,4,577,0.004509582863585118,0.6505073280721533,-0.6459977452085681,0.001755015818430467,0.011537583000484141,0.6185402752547402,0.6811763073565793
1,Flute,887,5,0.005636978579481398,4,577,0.004509582863585118,0.6505073280721533,-0.6459977452085681,0.001755015818430467,0.011537583000484141,0.6185402752547402,0.6811763073565793
1,Jynx torquilla,887,7,0.007891770011273957,4,577,0.004509582863585118,0.6505073280721533,-0.6459977452085681,0.001755015818430467,0.011537583000484141,0.6185402752547402,0.6811763073565793
