item_name,cnt,matches,avg_round
Fortuna's Kiss,583,58,13.024013722126929
Mushroom Farm,572,38,10.344405594405595
Regular Topaz,569,131,15.096660808435852
Shepherd’s Crook,543,43,11.117863720073665
Magic Torch,541,47,12.21441774491682
Fanfare,537,112,14.147113594040968
Bloody Dagger,529,69,13.648393194706994
Magic Staff,529,110,8.686200378071833
Stone Shoes,529,87,14.164461247637051
Girl Power,519,43,11.662813102119461
Claws of Attack,511,61,9.103718199608611
Knife to Meet You,509,34,10.483300589390963
Mana Potion,508,124,12.0
Regular Ruby,496,113,14.931451612903226
Chili Pepper,494,60,12.46761133603239
Manathirst,480,59,13.733333333333333
Dig Deeper,476,35,9.857142857142858
Darksaber,472,81,14.809322033898304
Winged Boots,472,103,15.207627118644067
Buy the Holy Light,453,51,13.966887417218542
King Goobert,444,79,15.211711711711711
Stable Recombobulator,437,46,12.837528604118994
Superspacious,432,30,10.043981481481481
Rainbow Badge,430,33,9.888372093023255
Strong Divine Potion,426,76,14.931924882629108
Serpent Staff,423,46,13.167848699763594
Frostbite,422,46,13.530805687203792
Twine Badge,420,36,11.07857142857143
Full Body Protection,418,47,13.995215311004785
The Fool,413,59,13.278450363196125
Regular Sapphire,410,91,14.941463414634146
Holdall,398,39,12.816582914572864
Carrot,392,47,12.528061224489797
Magic Badge,391,30,10.936061381074168
Wand of Equilibrium,390,39,10.317948717948719
Moon Armor,383,64,14.712793733681462
Regular Emerald,382,91,14.897905759162304
Thorn Whip,382,177,7.30890052356021
Light Goobert,378,55,14.423280423280424
Torch,376,110,4.422872340425532
Strong Vampiric Potion,374,55,14.457219251336898
Strong Mana Potion,372,47,13.817204301075268
Acorn Collar,366,75,13.150273224043715
Puzzlebag of Love,358,33,11.891061452513966
Staff of Unhealing,342,50,14.494152046783626
King Crown,337,141,14.863501483679526
Lightsaber,337,149,11.596439169139465
Jimbo,333,69,14.717717717717719
Wolf Badge,328,28,10.054878048780488
Pandamonium,323,31,10.538699690402476
Bagtacular,322,36,13.996894409937887
Falcon Blade,316,35,11.89240506329114
Cupcake,305,44,13.8
Unstable Recombobulator,302,222,10.125827814569536
Badger Spirit Companion,298,32,13.020134228187919
Spicy Banana,296,21,10.013513513513514
Tim,294,37,13.60204081632653
Twine,292,47,10.14041095890411
Ripsaw Blade,288,114,9.04513888888889
Lucky Clover,284,43,12.338028169014084
Present,277,25,11.458483754512635
Prismatic Sword,267,37,14.367041198501873
Ice Armor,265,30,13.283018867924529
Spell Scroll: Blessing of Purity,262,42,12.477099236641221
Cheese,260,35,13.438461538461539
Flawless Topaz,255,58,15.0
Eggscalibur,250,25,11.376
Frozen Buckler,248,32,13.112903225806452
Smithing For Dummies,246,16,10.398373983739837
Puzzlebag of Endurance,240,35,14.116666666666667
Red Orchid Collar,236,40,14.48728813559322
Darkest Lotus,230,48,14.78695652173913
Gloves of Power,230,35,13.639130434782608
Ice Dragon,230,31,14.130434782608695
Heart of Darkness,225,51,15.337777777777777
Puzzlebag of Ruin,222,26,13.617117117117116
Heart of the Cards,220,21,12.681818181818182
Flawless Amethyst,219,56,14.940639269406393
Flawless Sapphire,217,51,14.76036866359447
Puzzlebag of Improvement,217,23,12.87557603686636
Cthulhu,206,20,12.320388349514563
Piggy of Riches,206,24,12.951456310679612
Artifact Stone: Cold,202,32,14.138613861386139
Broccoli,195,30,12.205128205128204
Flawless Emerald,194,40,14.458762886597938
Unsettling Presence,191,25,13.638743455497382
Flawless Ruby,184,47,15.21195652173913
Hero Longsword,175,27,8.948571428571428
Thornbloom,175,20,12.954285714285714
Perfect Sapphire,167,41,15.467065868263473
Spectral Dagger,163,24,12.202453987730062
Owl Spirit Companion,160,22,13.6625
Artifact Stone: Death,157,19,13.318471337579618
White Lily Collar,155,22,13.67741935483871
Hardwood,154,22,13.62987012987013
Death Lotus,146,24,14.273972602739725
Puzzlebag of Energy,144,20,13.715277777777779
Magic For Dummies,141,20,10.361702127659575
Draconic Orb,139,31,13.352517985611511
Blood Goobert,138,23,13.797101449275363
Spell Scroll: Regrowth,137,28,12.153284671532846
Perfect Amethyst,132,35,15.628787878787879
Snowcake,129,19,13.325581395348838
Blood Harvester,127,14,13.062992125984252
More Stats,125,14,14.0
Cat Spirit Companion,124,18,13.60483870967742
Cubert,120,10,11.708333333333334
Perfect Topaz,120,32,15.358333333333333
Perfect Ruby,119,25,14.915966386554622
Forging Hammer,117,16,9.162393162393162
Dancing Dragon,116,9,11.939655172413794
Spell Scroll: Dark Frenzy,107,29,14.710280373831775
Burning Torch,103,24,7.961165048543689
Lucky Piggy,102,13,13.5
Repeater,101,16,14.752475247524753
Time Dilator,101,16,13.970297029702971
Artifact Stone: Heat,97,11,12.072164948453608
Gingerbread Jerry,94,16,13.77659574468085
Pumpkin,92,11,12.641304347826088
Holy Spear,87,13,13.770114942528735
Steel Goobert,83,12,10.674698795180722
Lil Chestnut,82,13,13.524390243902438
Perfect Emerald,81,19,15.037037037037036
Stone Golem,81,11,14.0
Null Blade,79,9,12.936708860759493
Lantern Berry,78,9,13.35897435897436
Rope,74,11,12.783783783783784
Villain Sword,74,7,11.513513513513514
Molten Dagger,71,6,11.661971830985916
Belladonna's Shade,70,8,10.742857142857142
Cold Mirror,70,15,15.285714285714286
Prismatic Wand,70,10,13.8
Chess Board,69,8,11.55072463768116
Burning Blade,65,6,12.153846153846153
Flame Whip,65,7,11.923076923076923
Sun Shield,65,12,14.092307692307692
Nature Chronicles: Trees,64,10,12.921875
Just Stats,63,4,10.523809523809524
Sun Armor,63,11,14.476190476190476
Dragonskin Boots,61,10,13.688524590163935
Chili Goobert,60,7,11.933333333333334
Hero Shield,60,6,12.683333333333334
Obsidian Dragon,59,11,14.677966101694915
Crossblades,54,6,13.61111111111111
Scripture of Light,53,13,14.830188679245284
Frieren's Guide to Ice,52,10,12.48076923076923
Spell Scroll: Ice Block,51,20,14.03921568627451
Cheese Goobert,50,5,13.4
White Pawn,48,5,10.75
