A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
King Goobert,Snake,57,79,147,887,0.06426155580608793,0.08906426155580609,0.1657271702367531,4.353655386205115,2.1222272154523383
Smelly Wall,Stone Armor,49,87,115,887,0.0552423900789177,0.09808342728297632,0.12965050732807215,4.344127936031984,2.1190665916231683
Hungry Blade,Nocturnal Lock Lifter,21,23,188,887,0.02367531003382187,0.02593010146561443,0.21195039458850057,4.307816836262719,2.1069569093451737
Doom Cap,Mushroom Farm,25,160,33,887,0.02818489289740699,0.18038331454340473,0.03720405862457723,4.1998106060606055,2.0703242698299724
Death Scythe,Smelly Wall,59,145,87,887,0.0665163472378805,0.16347237880496054,0.09808342728297632,4.1484740388426475,2.0525807577992423
Goobling,Snake,26,38,147,887,0.029312288613303268,0.04284103720405862,0.1657271702367531,4.128535624776227,2.045630154162206
Fancy Fencing Rapier,Snake,93,136,147,887,0.10484780157835401,0.15332581736189402,0.1657271702367531,4.126200480192077,2.0448139193223915
Strong Pestilence Flask,Strong Stone Skin Potion,44,111,86,887,0.0496054114994363,0.12514092446448705,0.09695603156708005,4.088413995390739,2.031541291886157
Heavy Drinking,Strong Vampiric Potion,21,88,52,887,0.02367531003382187,0.0992108229988726,0.058624577226606536,4.070585664335665,2.025236380301435
Darkest Lotus,Holo Fire Lizard,23,38,132,887,0.02593010146561443,0.04284103720405862,0.1488162344983089,4.067185007974482,2.024030617556038
Smelly Wall,Strong Pestilence Flask,44,87,111,887,0.0496054114994363,0.09808342728297632,0.12514092446448705,4.041420731075903,2.014862550739527
Bloodthorne,Nocturnal Lock Lifter,106,124,188,887,0.11950394588500564,0.13979706877113868,0.21195039458850057,4.033201784488675,2.0119255867997503
Smelly Wall,Strong Demonic Flask,49,87,126,887,0.0552423900789177,0.09808342728297632,0.14205186020293123,3.9648786717752236,1.9872767190676273
It’s Slime Time!,Snake,34,52,147,887,0.038331454340473504,0.058624577226606536,0.1657271702367531,3.9453165881737307,1.9801410725739466
