cluster,n_matches,winrate_pct,median_final_round
4,59,86.4406779661017,18.0
2,164,85.97560975609755,18.0
0,122,84.42622950819673,18.0
1,88,84.0909090909091,18.0
7,78,82.05128205128204,18.0
5,88,79.54545454545455,18.0
3,147,74.82993197278913,18.0
6,141,70.2127659574468,18.0
