cluster,item,cluster_rate,cluster_count,overall_rate,overall_count,lift,rate_advantage
0,Ace of Spades,0.04918032786885246,6,0.06989853438556934,62,0.7035959809624537,-0.02071820651671688
0,Acorn Collar,0.0,0,0.043968432919954906,39,0.0,-0.043968432919954906
0,Amulet of Alchemy,0.02459016393442623,3,0.11499436302142052,102,0.21383799421407906,-0.09040419908699429
0,Amulet of Darkness,0.11475409836065574,14,0.14430665163472378,128,0.7952100409836066,-0.02955255327406804
0,Amulet of Energy,0.1557377049180328,19,0.15332581736189402,136,1.0157304725168756,0.0024118875561387754
0,Amulet of Feasting,0.04918032786885246,6,0.08004509582863585,71,0.6144077580235512,-0.030864767959783393
0,Amulet of Fortune,0.09836065573770492,12,0.13077790304396844,116,0.752119841718485,-0.032417247306263525
0,Amulet of Life,0.13934426229508196,17,0.161217587373168,143,0.864324200389774,-0.021873325078086037
0,Amulet of Steel,0.10655737704918032,13,0.1488162344983089,132,0.7160332836562344,-0.04225885744912859
0,Amulet of the Wild,0.09016393442622951,11,0.15670800450958286,139,0.5753626606911193,-0.06654407008335335
0,Artifact Stone: Cold,0.01639344262295082,2,0.03494926719278467,31,0.4690639873083025,-0.01855582456983385
0,Artifact Stone: Death,0.02459016393442623,3,0.020293122886133032,18,1.2117486338797814,0.004297041048293197
0,Badger Spirit Companion,0.02459016393442623,3,0.03494926719278467,31,0.7035959809624537,-0.01035910325835844
0,Bag of Stones,0.040983606557377046,5,0.0496054114994363,44,0.8261922503725783,-0.008621804942059254
0,Bagtacular,0.040983606557377046,5,0.03945885005636979,35,1.0386416861826697,0.0015247565010072586
0,Banana,0.3360655737704918,41,0.31228861330326946,277,1.0761377759365567,0.02377696046722233
0,Blood Amulet,0.07377049180327869,9,0.25140924464487036,223,0.29342792031169596,-0.17763875284159167
0,Blood Goobert,0.01639344262295082,2,0.020293122886133032,18,0.807832422586521,-0.0038996802631822113
0,Blood Manipulation,0.040983606557377046,5,0.12852311161217586,114,0.3188812194420477,-0.08753950505479882
0,Bloodthorne,0.01639344262295082,2,0.13979706877113868,124,0.11726599682707563,-0.12340362614818785
0,Bloody Dagger,0.01639344262295082,2,0.07328072153325817,65,0.22370744010088275,-0.05688727891030734
0,Blueberries,0.5,61,0.42728297632469,379,1.1701846965699207,0.07271702367531002
0,Box of Prosperity,0.07377049180327869,9,0.11724915445321307,104,0.6291771752837326,-0.043478662649934385
0,Box of Riches,0.05737704918032787,7,0.11386696730552424,101,0.5038954715143645,-0.056489918125196374
0,Broccoli,0.02459016393442623,3,0.02254791431792559,20,1.0905737704918033,0.002042249616500638
