round,item_name,matches_reached,usage_matches,usage_rate,wins,winrate_pct
1,Leather Bag,477,455,0.9538784067085954,360,79.12087912087912
1,Relic Case,477,254,0.5324947589098532,189,74.40944881889764
1,Broom,477,238,0.4989517819706499,188,78.99159663865547
1,Storage Coffin,477,223,0.46750524109014674,190,85.20179372197309
1,Wooden Sword,477,214,0.44863731656184486,164,76.63551401869158
1,Shiny Shell,477,186,0.389937106918239,143,76.88172043010752
1,Garlic,477,167,0.350104821802935,134,80.23952095808383
1,Piggybank,477,163,0.3417190775681342,123,75.4601226993865
1,Pan,477,156,0.3270440251572327,117,75.0
1,Banana,477,127,0.2662473794549266,101,79.52755905511812
1,Healing Herbs,477,115,0.24109014675052412,97,84.34782608695653
1,Fanny Pack,477,114,0.2389937106918239,93,81.57894736842105
1,Lump of Coal,477,100,0.20964360587002095,84,84.0
1,Stone,477,97,0.20335429769392033,76,78.35051546391753
1,Star of Courage,477,79,0.16561844863731656,58,73.41772151898735
1,Walrus Tusk,477,76,0.15932914046121593,65,85.52631578947368
1,Pocket Sand,477,74,0.15513626834381553,57,77.02702702702703
1,Whetstone,477,70,0.14675052410901468,55,78.57142857142857
1,Wooden Buckler,477,69,0.14465408805031446,59,85.5072463768116
1,Fly Agaric,477,63,0.1320754716981132,54,85.71428571428571
1,Spear,477,62,0.129979035639413,53,85.48387096774194
1,Chipped Ruby,477,55,0.11530398322851153,49,89.0909090909091
1,Chipped Amethyst,477,50,0.10482180293501048,42,84.0
1,Chipped Emerald,477,46,0.09643605870020965,40,86.95652173913044
1,Health Potion,477,43,0.09014675052410902,35,81.3953488372093
1,Hammer,477,41,0.0859538784067086,36,87.8048780487805
1,Deck of Cards,477,38,0.07966457023060797,29,76.31578947368422
1,Stamina Sack,477,34,0.07127882599580712,28,82.35294117647058
1,Chipped Sapphire,477,30,0.06289308176100629,23,76.66666666666667
1,Leather Armor,477,29,0.06079664570230608,29,100.0
1,Chipped Topaz,477,29,0.06079664570230608,25,86.20689655172413
1,Stone Badge,477,23,0.04821802935010482,20,86.95652173913044
1,The Lovers,477,22,0.04612159329140461,19,86.36363636363636
1,Dagger,477,22,0.04612159329140461,15,68.18181818181817
1,Gloves of Haste,477,22,0.04612159329140461,15,68.18181818181817
1,Blueberries,477,19,0.039832285115303984,16,84.21052631578947
1,Customer Card,477,18,0.03773584905660377,14,77.77777777777779
1,Amulet of Alchemy,477,17,0.03563941299790356,14,82.35294117647058
1,Amulet of the Wild,477,17,0.03563941299790356,10,58.82352941176471
1,Potion Belt,477,16,0.033542976939203356,11,68.75
1,Box of Riches,477,16,0.033542976939203356,8,50.0
1,Amulet of Darkness,477,15,0.031446540880503145,12,80.0
